               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12072,            0.014704,            0.031243,            0.002596,             0.18681,            0.004056,           0.0011948,             0.12567,             0.01113,            0.029208,              0.0991,              0.0001,              0.0001
                   1,             0.12218,            0.015119,            0.028609,           0.0015674,            0.038462,            0.001134,          0.00034021,             0.12411,            0.011389,            0.029403,            0.097299,          0.00029941,          0.00029941
                   2,               0.118,            0.014716,            0.030692,            0.002994,            0.038462,           0.0021087,          0.00042175,             0.12115,            0.011895,            0.029561,            0.095498,          0.00049802,          0.00049802
                   3,             0.11603,            0.015369,            0.028502,           0.0038504,             0.33516,           0.0062214,           0.0014101,             0.11762,            0.012499,            0.029622,            0.093696,          0.00069584,          0.00069584
                   4,             0.11155,            0.016274,            0.029716,           0.0037983,             0.40659,           0.0059792,           0.0014169,             0.11278,            0.013352,             0.02973,            0.091893,          0.00089287,          0.00089287
                   5,              0.1042,            0.018189,            0.028296,           0.0033303,             0.36813,           0.0067889,           0.0015129,             0.10912,            0.014069,            0.029689,            0.090089,           0.0010891,           0.0010891
                   6,              0.1052,            0.020805,            0.028877,           0.0033333,              0.2967,           0.0068625,           0.0016226,             0.10645,            0.014543,            0.029394,            0.088285,           0.0012846,           0.0012846
                   7,            0.096105,            0.018131,            0.027907,           0.0041157,             0.58791,           0.0068093,           0.0017757,             0.10286,            0.015182,            0.029604,            0.086479,           0.0014792,           0.0014792
                   8,            0.096183,            0.022772,            0.027359,           0.0040009,             0.33516,           0.0065138,           0.0017729,             0.10084,            0.015518,            0.029948,            0.084673,           0.0016731,           0.0016731
                   9,            0.090674,            0.023399,            0.029214,             0.00369,            0.076923,           0.0030055,          0.00086271,            0.099955,            0.015591,            0.029758,            0.082866,           0.0018661,           0.0018661
                  10,            0.088712,            0.023765,            0.028298,           0.0033926,              0.2967,            0.006137,           0.0015878,            0.098594,            0.015809,            0.030003,            0.081058,           0.0020584,           0.0020584
                  11,            0.092156,            0.020428,            0.027154,           0.0041708,             0.26374,           0.0062662,           0.0012805,            0.097581,            0.015913,            0.029581,             0.07925,           0.0022499,           0.0022499
                  12,            0.088206,            0.024661,            0.026979,           0.0034498,             0.22527,           0.0070252,           0.0014468,            0.097053,            0.015813,            0.029022,            0.077441,           0.0024406,           0.0024406
                  13,            0.081418,            0.025813,            0.025913,           0.0041334,             0.26374,           0.0040988,           0.0013718,            0.096093,            0.015853,            0.028467,            0.075631,           0.0026305,           0.0026305
                  14,            0.080761,            0.025064,            0.026035,           0.0035377,             0.11538,           0.0038271,           0.0014499,            0.095265,            0.015901,            0.027573,             0.07382,           0.0028196,           0.0028196
                  15,             0.07938,            0.023559,            0.027113,           0.0034706,             0.18681,           0.0097575,           0.0026662,            0.094818,            0.015899,            0.027297,            0.072008,           0.0030079,           0.0030079
